Date,Protein,Fats,Sat Fats,Carbs,Sugars,Calories,Weight,Body Fat
23.08.07,111,47,24,170,69,2259,168,
23.08.14,102,51,16,221,72,2252,172,
23.08.21,113,56,18,231,77,2469,171,
23.08.28,134,37,17,203,79,2259,171.5,
23.09.04,142,49,13,253,71,2489,172.5,
23.09.11,119,61,34,252,81,2838,174.5,
23.09.18,129,50,27,212,79,2468,171.5,
23.09.25,126,53,25,207,61,2338,168.5,
23.10.02,115,58,23,204,56,2247,171.5,
23.10.09,123,46,20,202,78,2381,170.75,
23.10.16,125,47,18,226,62,2393,173.5,
23.10.23,135,46,18,249,78,2455,170.25,
23.10.30,125,39,14,227,73,2274,172,
23.11.06,143,59,21,223,81,2558,170.75,
23.11.13,162,72,25,235,84,3048,174.25,
23.11.20,156,58,19,216,71,2582,173.5,
23.11.27,126,66,24,211,76,2559,168.25,
23.12.04,127,68,25,209,71,2475,169.25,
23.12.11,139,56,25,197,74,2420,168.75,
23.12.18,130,54,24,192,77,2524,168.25,
23.12.25,139,56,26,237,95,2852,168,
24.01.01,153,56,29,226,86,2773,168.75,
24.01.08,155,56,25,248,110,3036,171.25,
24.01.15,157,67,28,245,84,2970,174.25,
24.01.22,137,62,23,246,93,2816,173.75,
24.01.29,127,59,23,254,100,2746,172.75,
24.02.05,137,62,22,264,75,2816,172.75,
24.02.12,134,63,23,225,81,2592,172.75,
24.02.19,159,71,22,247,94,2994,174.2,23
24.02.26,164,58,23,232,87,2863,177.2,24.2
24.03.04,139,27,12,152,49,1879,172.2,22.7
24.03.11,149,31,13,131,47,1879,171.2,22.3
24.03.18,139,55,26,183,65,2331,170,22.5
24.03.25,147,46,19,145,58,2082,170,22.5
24.04.01,152,43,17,185,64,2255,170,22.4
24.04.08,154,41,18,167,52,2141,170,22.4
24.04.15,156,42,16,204,59,2233,169.8,22
24.04.22,164,46,14,192,58,2259,173,22.7
24.04.29,151,52,16,245,54,2468,170.8,22.2
24.05.06,164,50,15,241,54,2500,173.2,22.8
24.05.13,148,43,14,222,60,2321,170.4,22.1
24.05.20,139,56,14,217,59,2334,170.4,22.1
24.05.27,147,50,20,214,49,2411,170.8,22
24.06.03,188,56,20,258,64,2804,170.8,22.9
24.06.10,181,40,17,224,60,2453,173.6,22.9
24.06.17,187,54,20,241,67,2688,177.8,23.8
24.06.24,178,54,21,231,64,2625,174,23
24.07.01,154,60,20,223,60,2526,174,23
24.07.08,157,50,19,252,54,2633,175,23.2
24.07.15,145,65,24,222,70,2616,175.4,23.3
24.07.22,139,44,16,235,70,2386,175,23.2
24.07.29,144,54,16,220,63,2433,175.2,23.5
24.08.05,154,66,21,247,69,2717,177,23.7
24.08.12,148,43,20,198,62,2284,176.2,24
24.08.19,168,39,14,205,55,2245,175,23.3
24.08.26,160,45,15,213,62,2331,175.4,23.4
24.09.02,153,50,15,229,49,2297,175,23.3
24.09.09,146,49,22,197,42,2210,174.2,23.1
24.09.16,167,31,14,164,63,2014,173.6,23
24.09.23,177,44,19,161,56,2153,171.8,22.6
24.09.30,171,34,15,169,50,2022,169.8,22.5
24.10.07,182,34,12,166,58,2067,171,22.4
24.10.14,179,30,12,153,51,1942,167.8,21.4
24.10.21,169,41,15,172,50,2113,169,21.7
24.10.28,180,43,18,157,51,2166,168.4,21.5
24.11.04,169,54,18,150,59,2192,168,21.4
24.11.11,187,41,12,170,59,2193,166.2,21
24.11.18,166,46,14,169,54,2139,167.6,21.3
24.11.25,182,47,14,200,54,2341,168,21.4
24.12.02,199,50,18,180,55,2386,166.8,21.1
24.12.09,200,52,17,179,61,2447,166.4,21
24.12.16,205,54,20,195,61,2561,166,20.9
24.12.23,192,43,16,187,61,2343,163.6,20.3
24.12.30,180,50,19,212,67,2456,165.8,21
25.01.06,185,59,23,209,71,2652,164,20.4
25.01.13,206,47,19,248,82,2783,164.2,20.4
25.01.20,194,48,25,195,76,2579,163.6,20.3
25.01.27,187,58,26,284,96,3057,164,20.4
25.02.03,194,49,20,263,84,2830,166,20.8
25.02.10,182,45,17,220,77,2523,165.4,20.8
25.02.17,183,59,20,218,71,2644,165.6,20.8
25.02.24,205,55,24,234,75,2836,166.6,21.1
25.03.03,183,50,21,236,68,2692,166.5,21
25.03.10,179,55,17,248,85,2750,164.8,20.6
25.03.17,180,48,16,264,75,2704,166.4,21
25.03.24,168,51,17,250,68,2600,166.4,21
25.03.31,178,57,17,263,74,2797,166.4,21
25.04.07,190,47,18,243,73,2698,165.6,20.8
25.04.14,172,53,18,250,69,2780,165.6,20.8
25.04.21,183,40,15,192,58,2389,162.2,19.9
25.04.28,177,33,11,180,62,2268,159.4,19.2
25.05.05,179,28,14,159,54,2098,159.2,19.1
25.05.12,178,22,11,144,58,2010,157.2,18.6
25.05.19,184,22,11,117,42,1852,156.4,18.3
25.05.26,170,21,10,114,50,1699,156.8,18.4
25.06.02,168,22,10,116,53,1780,154.6,17.8
25.06.09,169,24,15,114,62,1849,153.6,17.5
25.06.16,167,22,10,116,50,1654,151.4,16.8
25.06.23,167,29,12,112,48,1725,151,16.7
25.06.30,174,35,14,63,58,1685,148,15.8
25.07.07,165,30,13,76,70,1721,147.8,15.8
25.07.14,156,26,18,71,73,1674,146.8,15.4
25.07.21,154,29,22,83,64,1713,146,15.2
25.07.28,147,37,23,74,68,1759,145.2,14.9
25.08.04,158,43,33,127,87,2224,145.8,15.2
25.08.11,171,49,30,188,96,2580,149,16.2
25.08.18,173,58,30,179,70,2518,147.8,15.8
25.08.25,202,62,28,236,99,3025,147.8,15.8
25.09.01,198,54,24,259,83,2929,151.8,17.1
25.09.08,180,57,34,237,94,2915,151,16.8
25.09.15,195,52,26,238,81,2814,149.4,16.3
25.09.22,182,62,25,246,88,2903,153.2,17.4
25.09.29,170,60,26,259,98,2938,155.8,18.2
25.10.06,177,57,24,203,78,2609,155.8,18.3
25.10.13,147,59,23,200,85,2516,154.8,18
25.10.20,155,56,18,242,91,2682,156.4,18.4
25.10.27,161,55,22,208,82,2559,154.4,17.8
25.11.03,170,63,19,235,87,2795,154.8,18
25.11.10,152,53,23,209,88,2520,158.2,18.9
25.11.17,156,63,26,191,98,2617,156.8,18.5
25.11.24,162,57,26,232,100,2742,158.2,19
25.12.01,159,59,20,241,81,2689,158.2,19
25.12.08,158,46,17,256,94,2663,159.8,19.4
25.12.15,143,42,23,240,99,2582,158.8,19.1
25.12.22,134,46,25,225,103,2532,160,19.4
25.12.29,155,59,28,221,108,2765,160.4,19.5
26.01.05,145,38,20,251,103,2556,160.8,19.6
26.01.12,147,39,15,230,92,2404,160.8,19.6
26.01.19,143,55,17,252,85,2624,161.6,19.9
26.01.26,137,50,20,254,84,2578,160.6,19.6
26.02.02,160,47,18,247,78,2574,161.8,19.9
26.02.09,152,52,18,272,75,2665,160.6,19.6
26.02.16,148,52,20,291,78,2742,159.2,19.2
26.02.23,141,52,21,276,74,2655,160.6,19.6
