Fecha,Proteina,Grasas,Grasas_Saturadas,Carbohidratos,Azucares,Calorias,Peso_kg,Porcentaje_Grasa
23.08.07,111,47,24,170,69,2259,76.2,
23.08.14,102,51,16,221,72,2252,78.02,
23.08.21,113,56,18,231,77,2469,77.56,
23.08.28,134,37,17,203,79,2259,77.79,
23.09.04,142,49,13,253,71,2489,78.24,
23.09.11,119,61,34,252,81,2838,79.15,
23.09.18,129,50,27,212,79,2468,77.79,
23.09.25,126,53,25,207,61,2338,76.43,
23.10.02,115,58,23,204,56,2247,77.79,
23.10.09,123,46,20,202,78,2381,77.45,
23.10.16,125,47,18,226,62,2393,78.7,
23.10.23,135,46,18,249,78,2455,77.22,
23.10.30,125,39,14,227,73,2274,78.02,
23.11.06,143,59,21,223,81,2558,77.45,
23.11.13,162,72,25,235,84,3048,79.04,
23.11.20,156,58,19,216,71,2582,78.7,
23.11.27,126,66,24,211,76,2559,76.32,
23.12.04,127,68,25,209,71,2475,76.77,
23.12.11,139,56,25,197,74,2420,76.54,
23.12.18,130,54,24,192,77,2524,76.32,
23.12.25,139,56,26,237,95,2852,76.2,
24.01.01,153,56,29,226,86,2773,76.54,
24.01.08,155,56,25,248,110,3036,77.68,
24.01.15,157,67,28,245,84,2970,79.04,
24.01.22,137,62,23,246,93,2816,78.81,
24.01.29,127,59,23,254,100,2746,78.36,
24.02.05,137,62,22,264,75,2816,78.36,
24.02.12,134,63,23,225,81,2592,78.36,
24.02.19,159,71,22,247,94,2994,79.02,23.0
24.02.26,164,58,23,232,87,2863,80.38,24.2
24.03.04,139,27,12,152,49,1879,78.11,22.7
24.03.11,149,31,13,131,47,1879,77.65,22.3
24.03.18,139,55,26,183,65,2331,77.11,22.5
24.03.25,147,46,19,145,58,2082,77.11,22.5
24.04.01,152,43,17,185,64,2255,77.11,22.4
24.04.08,154,41,18,167,52,2141,77.11,22.4
24.04.15,156,42,16,204,59,2233,77.02,22.0
24.04.22,164,46,14,192,58,2259,78.47,22.7
24.04.29,151,52,16,245,54,2468,77.47,22.2
24.05.06,164,50,15,241,54,2500,78.56,22.8
24.05.13,148,43,14,222,60,2321,77.29,22.1
24.05.20,139,56,14,217,59,2334,77.29,22.1
24.05.27,147,50,20,214,49,2411,77.47,22.0
24.06.03,188,56,20,258,64,2804,77.47,22.9
24.06.10,181,40,17,224,60,2453,78.74,22.9
24.06.17,187,54,20,241,67,2688,80.65,23.8
24.06.24,178,54,21,231,64,2625,78.93,23.0
24.07.01,154,60,20,223,60,2526,78.93,23.0
24.07.08,157,50,19,252,54,2633,79.38,23.2
24.07.15,145,65,24,222,70,2616,79.56,23.3
24.07.22,139,44,16,235,70,2386,79.38,23.2
24.07.29,144,54,16,220,63,2433,79.47,23.5
24.08.05,154,66,21,247,69,2717,80.29,23.7
24.08.12,148,43,20,198,62,2284,79.92,24.0
24.08.19,168,39,14,205,55,2245,79.38,23.3
24.08.26,160,45,15,213,62,2331,79.56,23.4
24.09.02,153,50,15,229,49,2297,79.38,23.3
24.09.09,146,49,22,197,42,2210,79.02,23.1
24.09.16,167,31,14,164,63,2014,78.74,23.0
24.09.23,177,44,19,161,56,2153,77.93,22.6
24.09.30,171,34,15,169,50,2022,77.02,22.5
24.10.07,182,34,12,166,58,2067,77.56,22.4
24.10.14,179,30,12,153,51,1942,76.11,21.4
24.10.21,169,41,15,172,50,2113,76.66,21.7
24.10.28,180,43,18,157,51,2166,76.38,21.5
24.11.04,169,54,18,150,59,2192,76.2,21.4
24.11.11,187,41,12,170,59,2193,75.39,21.0
24.11.18,166,46,14,169,54,2139,76.02,21.3
24.11.25,182,47,14,200,54,2341,76.2,21.4
24.12.02,199,50,18,180,55,2386,75.66,21.1
24.12.09,200,52,17,179,61,2447,75.48,21.0
24.12.16,205,54,20,195,61,2561,75.3,20.9
24.12.23,192,43,16,187,61,2343,74.21,20.3
24.12.30,180,50,19,212,67,2456,75.21,21.0
25.01.06,185,59,23,209,71,2652,74.39,20.4
25.01.13,206,47,19,248,82,2783,74.48,20.4
25.01.20,194,48,25,195,76,2579,74.21,20.3
25.01.27,187,58,26,284,96,3057,74.39,20.4
25.02.03,194,49,20,263,84,2830,75.3,20.8
25.02.10,182,45,17,220,77,2523,75.02,20.8
25.02.17,183,59,20,218,71,2644,75.11,20.8
25.02.24,205,55,24,234,75,2836,75.57,21.1
25.03.03,183,50,21,236,68,2692,75.52,21.0
25.03.10,179,55,17,248,85,2750,74.75,20.6
25.03.17,180,48,16,264,75,2704,75.48,21.0
25.03.24,168,51,17,250,68,2600,75.48,21.0
25.03.31,178,57,17,263,74,2797,75.48,21.0
25.04.07,190,47,18,243,73,2698,75.11,20.8
25.04.14,172,53,18,250,69,2780,75.11,20.8
25.04.21,183,40,15,192,58,2389,73.57,19.9
25.04.28,177,33,11,180,62,2268,72.3,19.2
25.05.05,179,28,14,159,54,2098,72.21,19.1
25.05.12,178,22,11,144,58,2010,71.3,18.6
25.05.19,184,22,11,117,42,1852,70.94,18.3
25.05.26,170,21,10,114,50,1699,71.12,18.4
25.06.02,168,22,10,116,53,1780,70.13,17.8
25.06.09,169,24,15,114,62,1849,69.67,17.5
25.06.16,167,22,10,116,50,1654,68.67,16.8
25.06.23,167,29,12,112,48,1725,68.49,16.7
25.06.30,174,35,14,63,58,1685,67.13,15.8
25.07.07,165,30,13,76,70,1721,67.04,15.8
25.07.14,156,26,18,71,73,1674,66.59,15.4
25.07.21,154,29,22,83,64,1713,66.22,15.2
25.07.28,147,37,23,74,68,1759,65.86,14.9
25.08.04,158,43,33,127,87,2224,66.13,15.2
25.08.11,171,49,30,188,96,2580,67.59,16.2
25.08.18,173,58,30,179,70,2518,67.04,15.8
25.08.25,202,62,28,236,99,3025,67.04,15.8
25.09.01,198,54,24,259,83,2929,68.86,17.1
25.09.08,180,57,34,237,94,2915,68.49,16.8
25.09.15,195,52,26,238,81,2814,67.77,16.3
25.09.22,182,62,25,246,88,2903,69.49,17.4
25.09.29,170,60,26,259,98,2938,70.67,18.2
25.10.06,177,57,24,203,78,2609,70.67,18.3
25.10.13,147,59,23,200,85,2516,70.22,18.0
25.10.20,155,56,18,242,91,2682,70.94,18.4
25.10.27,161,55,22,208,82,2559,70.03,17.8
25.11.03,170,63,19,235,87,2795,70.22,18.0
25.11.10,152,53,23,209,88,2520,71.76,18.9
25.11.17,156,63,26,191,98,2617,71.12,18.5
25.11.24,162,57,26,232,100,2742,71.76,19.0
25.12.01,159,59,20,241,81,2689,71.76,19.0
25.12.08,158,46,17,256,94,2663,72.48,19.4
25.12.15,143,42,23,240,99,2582,72.03,19.1
25.12.22,134,46,25,225,103,2532,72.57,19.4
25.12.29,155,59,28,221,108,2765,72.76,19.5
26.01.05,145,38,20,251,103,2556,72.94,19.6
26.01.12,147,39,15,230,92,2404,72.94,19.6
26.01.19,143,55,17,252,85,2624,73.3,19.9
26.01.26,137,50,20,254,84,2578,72.85,19.6
26.02.02,160,47,18,247,78,2574,73.39,19.9
26.02.09,152,52,18,272,75,2665,72.85,19.6
26.02.16,148,52,20,291,78,2742,72.21,19.2
26.02.23,141,52,21,276,74,2655,72.85,19.6
